,ID,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
ID,1.0,2.762449699866022e-05,0.013035996957969224,0.002405606452635583,-0.0025798908515469623,-0.04652410196234235,-0.022878289708023004,0.004600062151742066,-0.004437217584581789,-0.024474948119634344,-0.007641556896281403,-0.013437832736179586,-0.03716584816742397,-0.018923896649851467,-0.003440143491296379,-0.014926928727553848,-0.007446182337423972,-0.03603999666478911,-0.02538672018410041,-0.007517024171266124,-0.021614237361043984,-0.015060963050468066,0.03388303805398524,,,-0.021967817648744548
Year_Birth,2.762449699866022e-05,1.0,-0.16094190079283774,0.23017553831520352,-0.3521114330406702,-0.01987108873443243,-0.15777252303375347,-0.017917240338493092,-0.030872399131516924,-0.04162537739221733,-0.018132606569636684,-0.06181818167450675,-0.06084555026685582,-0.14504013843382474,-0.12127463215268328,-0.12827205559380142,0.12113925920382702,0.06177447993538734,-0.0605095954172399,0.007122541535987857,-0.005930316747732219,-0.006539284069732688,-0.030127544784160108,,,0.02132521444198017
Income,0.013035996957969224,-0.16094190079283774,1.0,-0.42517600823925744,0.019018078747240763,-0.003946499774554015,0.5767892127694006,0.42874703341869325,0.5778021532599639,0.4374965302532052,0.43616159572501695,0.3219775225875983,-0.08228977863809882,0.38055038631310284,0.586724603980808,0.5264892842311282,-0.5498240903122193,-0.01616756487718782,0.1827905041213421,0.33485034259710345,0.2749210820344588,0.08753833854015915,-0.027223117087966046,,,0.13275647584283234
Kidhome,0.002405606452635583,0.23017553831520352,-0.42517600823925744,1.0,-0.03613314894320595,0.008826734248421463,-0.49629692675798376,-0.37258145108738433,-0.4371294823547514,-0.387643956850892,-0.37067303115081424,-0.34959459824547706,0.22179783432311223,-0.361647216226876,-0.5022372229807835,-0.4996825649958031,0.44784620281363025,0.014674378871827747,-0.16160048478946518,-0.20563373170900706,-0.17233857680993958,-0.08171638206236986,0.04020650854605243,,,-0.08000778224709978
Teenhome,-0.0025798908515469623,-0.3521114330406702,0.019018078747240763,-0.03613314894320595,1.0,0.016197742578262456,0.004846405297905822,-0.17676366189321088,-0.26115951301530027,-0.20418731644604196,-0.16247511144846696,-0.021725269220787442,0.3877410695540507,0.15549976227026666,-0.11076856426436264,0.050695235728325884,0.1348835546115962,-0.042676920386698694,0.03888642477134107,-0.1910497550182166,-0.14008954481694466,-0.015604860257917397,0.0031377064964955674,,,-0.15444559037757136
Recency,-0.04652410196234235,-0.01987108873443243,-0.003946499774554015,0.008826734248421463,0.016197742578262456,1.0,0.01606390248339217,-0.0043056416024839575,0.023056050911278828,0.001078967454452277,0.022669605959664822,0.016693271476363583,-0.001098366788529517,-0.010726286649987317,0.025110491674289474,0.0007988355694855014,-0.021444690555855673,-0.032990590656117126,0.018825618129017584,0.00012890934419929027,-0.019282765039995372,-0.0017813276566354553,0.013231078458269319,,,-0.1984366465192583
MntWines,-0.022878289708023004,-0.15777252303375347,0.5767892127694006,-0.49629692675798376,0.004846405297905822,0.01606390248339217,1.0,0.3896366811397381,0.5626665141603633,0.3997526616914563,0.38658115409815386,0.38751567995900965,0.010939871926201595,0.5422647805007922,0.6352257380760022,0.6421004382014514,-0.32065279782184747,0.0622017867632343,0.37328602352428414,0.47261326347507665,0.3541331994412753,0.2059070644680652,-0.03900714129885222,,,0.24725449897211266
MntFruits,0.004600062151742066,-0.017917240338493092,0.42874703341869325,-0.37258145108738433,-0.17676366189321088,-0.0043056416024839575,0.3896366811397381,1.0,0.543104560154249,0.5948035099014978,0.5671639397753478,0.3929950193303562,-0.13211421320896102,0.2967345653805894,0.48791733307197205,0.4617581138933484,-0.4183829761546219,0.014726856361157711,0.010152182055005853,0.2158327868406809,0.19474814567252194,-0.009773223631598039,-0.005166287837293881,,,0.12528880810822457
MntMeatProducts,-0.004437217584581789,-0.030872399131516924,0.5778021532599639,-0.4371294823547514,-0.26115951301530027,0.023056050911278828,0.5626665141603633,0.543104560154249,1.0,0.5684021297555202,0.5238462164974977,0.3506085241480674,-0.12241540113528378,0.2937614842444683,0.7238265908738767,0.4796587805040105,-0.5394698236237003,0.018271793387791203,0.10291221252784369,0.37376885349462846,0.30976072578963965,0.04303342563197972,-0.02348305355254734,,,0.23633512037830526
MntFishProducts,-0.024474948119634344,-0.04162537739221733,0.4374965302532052,-0.387643956850892,-0.20418731644604196,0.001078967454452277,0.3997526616914563,0.5948035099014978,0.5684021297555202,1.0,0.579870081024203,0.42287480148555545,-0.13936062629626447,0.29368074759740165,0.5344783363562016,0.4598546274655576,-0.4460026543967375,0.00035722602284753087,0.016842798632165056,0.19957777773351948,0.2607620979168397,0.002576704636068102,-0.02095284338350151,,,0.11133079479115485
MntSweetProducts,-0.007641556896281403,-0.018132606569636684,0.43616159572501695,-0.37067303115081424,-0.16247511144846696,0.022669605959664822,0.38658115409815386,0.5671639397753478,0.5238462164974977,0.579870081024203,1.0,0.36972430038763787,-0.12010026691553617,0.34854428308363505,0.49092392773434174,0.4487559528213751,-0.4232941388913916,0.0015299455140536857,0.028640708050549413,0.25959041023722845,0.2418178180111001,0.009985231944845855,-0.022484959382602934,,,0.11737190061543214
MntGoldProds,-0.013437832736179586,-0.06181818167450675,0.3219775225875983,-0.34959459824547706,-0.021725269220787442,0.016693271476363583,0.38751567995900965,0.3929950193303562,0.3506085241480674,0.42287480148555545,0.36972430038763787,1.0,0.049085157023878924,0.42183589977766583,0.4376974440440469,0.3816780138174976,-0.25071873754397844,0.12309105861436703,0.02226797742061631,0.18102115705012367,0.16639610063567614,0.04999028723263048,-0.030861226488886683,,,0.13985013694749132
NumDealsPurchases,-0.03716584816742397,-0.06084555026685582,-0.08228977863809882,0.22179783432311223,0.3877410695540507,-0.001098366788529517,0.010939871926201595,-0.13211421320896102,-0.12241540113528378,-0.13936062629626447,-0.12010026691553617,0.049085157023878924,1.0,0.23418468750306543,-0.008617246318165975,0.06887882613641638,0.3476333584383521,-0.023108936621978833,0.015594261512435795,-0.18324786220258224,-0.12324443396026266,-0.03769475835653804,0.000419649012937894,,,0.0022383132689211822
NumWebPurchases,-0.018923896649851467,-0.14504013843382474,0.38055038631310284,-0.361647216226876,0.15549976227026666,-0.010726286649987317,0.5422647805007922,0.2967345653805894,0.2937614842444683,0.29368074759740165,0.34854428308363505,0.42183589977766583,0.23418468750306543,1.0,0.3783755492596571,0.5027134132997331,-0.05584633165982067,0.04217552510915341,0.15590282134734854,0.1386840412125034,0.15514282741382346,0.034187735519097436,-0.016310194907266245,,,0.148729585030599
NumCatalogPurchases,-0.003440143491296379,-0.12127463215268328,0.586724603980808,-0.5022372229807835,-0.11076856426436264,0.025110491674289474,0.6352257380760022,0.48791733307197205,0.7238265908738767,0.5344783363562016,0.49092392773434174,0.4376974440440469,-0.008617246318165975,0.3783755492596571,1.0,0.518738282718757,-0.5203637147218997,0.10472952539050308,0.13924726217856567,0.3223214961399905,0.30809656949981773,0.09985235900381603,-0.020453130912775366,,,0.22081041924742978
NumStorePurchases,-0.014926928727553848,-0.12827205559380142,0.5264892842311282,-0.4996825649958031,0.050695235728325884,0.0007988355694855014,0.6421004382014514,0.4617581138933484,0.4796587805040105,0.4598546274655576,0.4487559528213751,0.3816780138174976,0.06887882613641638,0.5027134132997331,0.518738282718757,1.0,-0.4284725267189047,-0.06757738052088615,0.17937944967070557,0.21479017278146242,0.18324872223104205,0.08518943104969993,-0.016524229455613524,,,0.039363443506241075
NumWebVisitsMonth,-0.007446182337423972,0.12113925920382702,-0.5498240903122193,0.44784620281363025,0.1348835546115962,-0.021444690555855673,-0.32065279782184747,-0.4183829761546219,-0.5394698236237003,-0.4460026543967375,-0.4232941388913916,-0.25071873754397844,0.3476333584383521,-0.05584633165982067,-0.5203637147218997,-0.4284725267189047,1.0,0.06121115185735848,-0.03212569287490369,-0.278112534661948,-0.19250154136722497,-0.0071964017706022875,0.019768507090012395,,,-0.003986598715538764
AcceptedCmp3,-0.03603999666478911,0.06177447993538734,-0.01616756487718782,0.014674378871827747,-0.042676920386698694,-0.032990590656117126,0.0622017867632343,0.014726856361157711,0.018271793387791203,0.00035722602284753087,0.0015299455140536857,0.12309105861436703,-0.023108936621978833,0.04217552510915341,0.10472952539050308,-0.06757738052088615,0.06121115185735848,1.0,-0.07951226746070844,0.0803158165239506,0.09475053283937952,0.07201991923574949,0.008415397572196934,,,0.25425828324929833
AcceptedCmp4,-0.02538672018410041,-0.0605095954172399,0.1827905041213421,-0.16160048478946518,0.03888642477134107,0.018825618129017584,0.37328602352428414,0.010152182055005853,0.10291221252784369,0.016842798632165056,0.028640708050549413,0.02226797742061631,0.015594261512435795,0.15590282134734854,0.13924726217856567,0.17937944967070557,-0.03212569287490369,-0.07951226746070844,1.0,0.3065257644854813,0.25129993382895727,0.29220986334195875,-0.027611473320669308,,,0.1770186024967554
AcceptedCmp5,-0.007517024171266124,0.007122541535987857,0.33485034259710345,-0.20563373170900706,-0.1910497550182166,0.00012890934419929027,0.47261326347507665,0.2158327868406809,0.37376885349462846,0.19957777773351948,0.25959041023722845,0.18102115705012367,-0.18324786220258224,0.1386840412125034,0.3223214961399905,0.21479017278146242,-0.278112534661948,0.0803158165239506,0.3065257644854813,1.0,0.40307767615188794,0.22153300458151293,-0.009418557547690635,,,0.3266339446225543
AcceptedCmp1,-0.021614237361043984,-0.005930316747732219,0.2749210820344588,-0.17233857680993958,-0.14008954481694466,-0.019282765039995372,0.3541331994412753,0.19474814567252194,0.30976072578963965,0.2607620979168397,0.2418178180111001,0.16639610063567614,-0.12324443396026266,0.15514282741382346,0.30809656949981773,0.18324872223104205,-0.19250154136722497,0.09475053283937952,0.25129993382895727,0.40307767615188794,1.0,0.17531457831093278,-0.025498615675234943,,,0.29398152685247303
AcceptedCmp2,-0.015060963050468066,-0.006539284069732688,0.08753833854015915,-0.08171638206236986,-0.015604860257917397,-0.0017813276566354553,0.2059070644680652,-0.009773223631598039,0.04303342563197972,0.002576704636068102,0.009985231944845855,0.04999028723263048,-0.03769475835653804,0.034187735519097436,0.09985235900381603,0.08518943104969993,-0.0071964017706022875,0.07201991923574949,0.29220986334195875,0.22153300458151293,0.17531457831093278,1.0,-0.011334320441704704,,,0.16929266118503425
Complain,0.03388303805398524,-0.030127544784160108,-0.027223117087966046,0.04020650854605243,0.0031377064964955674,0.013231078458269319,-0.03900714129885222,-0.005166287837293881,-0.02348305355254734,-0.02095284338350151,-0.022484959382602934,-0.030861226488886683,0.000419649012937894,-0.016310194907266245,-0.020453130912775366,-0.016524229455613524,0.019768507090012395,0.008415397572196934,-0.027611473320669308,-0.009418557547690635,-0.025498615675234943,-0.011334320441704704,1.0,,,-0.0017069639546603297
Z_CostContact,,,,,,,,,,,,,,,,,,,,,,,,,,
Z_Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,
Response,-0.021967817648744548,0.02132521444198017,0.13275647584283234,-0.08000778224709978,-0.15444559037757136,-0.1984366465192583,0.24725449897211266,0.12528880810822457,0.23633512037830526,0.11133079479115485,0.11737190061543214,0.13985013694749132,0.0022383132689211822,0.148729585030599,0.22081041924742978,0.039363443506241075,-0.003986598715538764,0.25425828324929833,0.1770186024967554,0.3266339446225543,0.29398152685247303,0.16929266118503425,-0.0017069639546603297,,,1.0
